
Infractions / art.;Substances;Infractions;Répartition des substances consommées (plusieurs substances peuvent être saisies pour 1 infraction);
Consommation (contravention);
;Total;37799;47812;
;Amphétamines;509;1995;
;Crack;2;9;
;Ecstasy;207;1157;
;Cocaïn;3933;7426;
;Feuilles de coca;1;3;
;Métamphétamine;182;502;
;Khat;43;47;
;Méphédrone;1;2;
;MDPV (3,4-méthylènedioxypyrovalérone);2;8;
;Chanvre (jeunes plantation);25;114;
;Chanvre (plante sèche);39;117;
;Chanvre (plante fraiche);64;212;
;Haschisch;1236;3055;
;Marijuana;19760;25351;
;Huile de Haschisch;0;25;
;Graines de cannabis;291;600;
;Cannabinoïdes de synthèse;7;13;
;Héroïne;3429;5093;
;Méthadone;79;260;
;Autres produits de substitution;4;17;
;Morphine/Héroïne-base;9;33;
;Opium;4;14;
;LSD;50;304;
;Mescaline;2;12;
;Champignons hallucinogènes (Psilocybes);58;199;
;Autres hallucinogènes;11;36;
;GHB/GBL;29;62;
;Médicament en vente libre cont. subst. stupéf.;4;18;
;Médicament sur ordonnance cont. subst. stupéf.;378;839;
;Mat. prem/prod. avec effet prés. sembl. à stup.;2;7;
;Substances de coupage;1;30;
;Autre substance stupéfiante;34;108;
;Plusieurs 1);7292;_;
;Inconnu;48;81;
;Sans indication;63;63;
