
Infractions / art.;Substances;Infractions;Répartition des substances consommées (plusieurs substances peuvent être saisies pour 1 infraction);
Consommation (contravention);
;Total;44789;53944;
;Amphétamines;295;1280;
;Crack;4;13;
;Ecstasy;176;842;
;Cocaïn;4178;7721;
;Feuilles de coca;2;3;
;Métamphétamine;93;311;
;Khat;89;97;
;Cannabis;6;11;
;Chanvre (jeunes plantations);14;60;
;Chanvre (plante sèche);51;136;
;Chanvre (plante fraiche);75;169;
;Haschisch;1861;3713;
;Marijuana;26904;32001;
;Huile de Haschisch;1;17;
;Graines de cannabis;26;104;
;Héroïne;3324;5398;
;Méthadone;95;361;
;Autres produits de substitution;5;30;
;Morphine/Héroïne-base;4;9;
;Opium;3;39;
;LSD;17;212;
;Mescaline;1;8;
;Champignons hallucinogènes (Psilocybes);28;115;
;Autres hallucinogènes;7;36;
;Flunitrazepam (Rohypnol);3;9;
;GHB/GBL;59;107;
;Médicament en vente libre cont. subst. stupéf.;5;16;
;Médicament sur ordonnance cont. subst. stupéf.;461;886;
;Substances de coupage;4;37;
;Autre substance stupéfiante;47;139;
;Plusieurs 1);6897;-;
;Inconnue;20;30;
;Sans indication;34;34;
