
Infractions / art.;Substances;Infractions;Répartition des substances consommées (plusieurs substances peuvent être saisies pour 1 infraction);
Consommation (contravention);
;Total;37488;48325;
;Amphétamines;445;1877;
;Crack;15;34;
;Ecstasy;229;1180;
;Cocaïn;5352;9637;
;Feuilles de coca;5;6;
;Métamphétamine;254;707;
;Khat;19;19;
;Méphédrone;2;2;
;MDPV (3,4-méthylènedioxypyrovalérone);4;13;
;Chanvre (jeunes plantation);8;81;
;Chanvre (plante sèche);17;73;
;Chanvre (plante fraiche);52;155;
;Haschisch;1806;3908;
;Marijuana;17656;23636;
;Huile de Haschisch;5;23;
;Graines de cannabis;117;254;
;Cannabinoïdes de synthèse;21;38;
;Héroïne;2794;4373;
;Méthadone;62;251;
;Autres produits de substitution;4;18;
;Morphine/Héroïne-base;12;45;
;Opium;2;17;
;LSD;36;315;
;Mescaline;1;11;
;Champignons hallucinogènes (Psilocybes);35;193;
;Autres hallucinogènes;9;42;
;GHB/GBL;42;85;
;Médicament en vente libre cont. subst. stupéf.;13;28;
;Médicament sur ordonnance cont. subst. stupéf.;392;934;
;Mat. prem/prod. avec effet prés. sembl. à stup.;1;5;
;Substances de coupage;4;39;
;Autre substance stupéfiante;78;165;
;Plusieurs 1);7878;_;
;Inconnu;54;97;
;Sans indication;64;64;
