
Infractions / art.;Substances;Infractions;Répartition des substances consommées (plusieurs substances peuvent être saisies pour 1 infraction);
Consommation (contravention);
;Total;37602;47500;
;Amphétamines;411;1832;
;Crack;13;31;
;Ecstasy;212;1138;
;Cocaïn;4148;7788;
;Feuilles de coca;3;3;
;Métamphétamine;125;384;
;Khat;77;83;
;Méphédrone;0;1;
;MDPV (3,4-méthylènedioxypyrovalérone);0;6;
;Chanvre (jeunes plantation);11;99;
;Chanvre (plante sèche);20;94;
;Chanvre (plante fraiche);86;239;
;Haschisch;1113;2715;
;Marijuana;19633;25100;
;Huile de Haschisch;1;23;
;Graines de cannabis;56;230;
;Cannabinoïdes de synthèse;3;5;
;Héroïne;3714;5644;
;Méthadone;94;287;
;Autres produits de substitution;8;29;
;Morphine/Héroïne-base;7;19;
;Opium;7;28;
;LSD;27;325;
;Mescaline;0;4;
;Champignons hallucinogènes (Psilocybes);49;176;
;Autres hallucinogènes;8;47;
;GHB/GBL;27;67;
;Médicament en vente libre cont. subst. stupéf.;4;14;
;Médicament sur ordonnance cont. subst. stupéf.;387;793;
;Mat. prem/prod. avec effet prés. sembl. à stup.;1;5;
;Substances de coupage;1;35;
;Autre substance stupéfiante;52;143;
;Plusieurs 1);7220;-;
;Inconnue;31;60;
;Sans indication;53;53;
