
Infractions / art.;Substances;Infractions;Répartition des substances consommées (plusieurs substances peuvent être saisies pour 1 infraction);
Consommation (contravention);
:Total;45905;55782;
;Amphétamines;413;1738;
;Crack;8;17;
;Ecstasy;178;995;
;Cocaïn;4107;7785;
;Feuilles de coca;22;25;
;Métamphétamine;59;255;
;Méphédrone;4;4;
;Khat;99;106;
;Cannabis;2;4;
;Chanvre (jeunes plantations);5;48;
;Chanvre (plante sèche);40;107;
;Chanvre (plante fraiche);51;163;
;Haschisch;1894;3765;
;Marijuana;27549;33220;
;Huile de Haschisch;2;19;
;Graines de cannabis;46;166;
;Héroïne;3250;5193;
;Méthadone;88;324;
;Autres produits de substitution;4;27;
;Morphine/Héroïne-base;7;21;
;Opium;5;40;
;LSD;33;317;
;Mescaline;1;11;
;Champignons hallucinogènes (Psilocybes);42;189;
;Autres hallucinogènes;5;35;
;Flunitrazepam (Rohypnol);1;6;
;GHB/GBL;38;72;
;Médicament en vente libre cont. subst. stupéf.;2;9;
;Médicament sur ordonnance cont. subst. stupéf.;339;758;
;Matières premières et produits ayant un effet présumé semblable à celui des stupéfiants (Swissmedic tableau e);2;6;
;Substances de coupage;4;37;
;Autre substance stupéfiante;56;166;
;Plusieurs 1);7414;-;
;Inconnue;18;37;
;Sans indication;117;117;
