
Infractions / art.;Substances;Infractions;Répartition des substances consommées (plusieurs substances peuvent être saisies pour 1 infraction);
Consommation (contravention);
;Total;44071;53968;
;Amphétamines;251;1013;
;Crack;18;36;
;Ecstasy;76;574;
;Cocaïn;4245;8144;
;Feuilles de coca;7;10;
;Métamphétamine;65;184;
;Khat;85;86;
;Cannabis;30;44;
;Chanvre (jeunes plantations);17;59;
;Chanvre (plante sèche);180;294;
;Chanvre (plante fraiche);63;199;
;Haschisch;2085;4320;
;Marijuana;24232;29735;
;Huile de Haschisch;9;33;
;Graines de cannabis;23;80;
;Héroïne;4448;7004;
;Méthadone;107;442;
;Autres produits de substitution;5;22;
;Morphine/Héroïne-base;3;7;
;Opium;4;24;
;LSD;25;227;
;Mescaline;0;5;
;Champignons hallucinogènes (Psilocybes);43;125;
;Autres hallucinogènes;4;12;
;Flunitrazepam (Rohypnol);2;14;
;GHB/GBL;58;115;
;Médicament en vente libre cont. subst. stupéf.;3;18;
;Médicament sur ordonnance cont. subst. stupéf.;328;761;
;Substances de coupage;1;19;
;Autre substance stupéfiante;62;296;
;Plusieurs 1);7540;-;
;Inconnue;12;26;
;Sans indication;40;40;
