
Infractions / art.;Substances;Infractions;Répartition des substances consommées (plusieurs substances peuvent être saisies pour 1 infraction);
Consommation (contravention);
;Total;34518;46062;
;Amphétamines;381;1640;
;Crack;30;72;
;Ecstasy;263;1195;
;Cocaïn;5627;10119;
;Feuilles de coca;15;17;
;Métamphétamine;242;708;
;Khat;32;35;
;Méphédrone;0;3;
;MDPV (3,4-méthylènedioxypyrovalérone);2;25;
;Chanvre (jeunes plantation);7;55;
;Chanvre (plante sèche);9;64;
;Chanvre (plante fraiche);18;91;
;Haschisch;3307;6097;
;Marijuana;13243;19402;
;Huile de Haschisch;7;38;
;Graines de cannabis;86;209;
;Cannabinoïdes de synthèse;24;35;
;Héroïne;2102;3634;
;Méthadone;46;256;
;Autres produits de substitution;3;14;
;Morphine/Héroïne-base;23;89;
;Opium;6;44;
;LSD;62;281;
;Mescaline;0;5;
;Champignons hallucinogènes (Psilocybes);61;157;
;Autres hallucinogènes;17;64;
;GHB/GBL;48;112;
;Médicament en vente libre cont. subst. stupéf.;13;37;
;Médicament sur ordonnance cont. subst. stupéf.;385;1262;
;Mat. prem/prod. avec effet prés. sembl. à stup.;15;19;
;Substances de coupage;6;46;
;Autre substance stupéfiante;79;175;
;Plusieurs 1);8327;_;
;Inconnu;25;55;
;Sans indication;7;7;
