
Infractions / art.;Substances;Infractions;Répartition des substances consommées (plusieurs substances peuvent être saisies pour 1 infraction);
Consommation (contravention);
;Total;43711;52587;
;Amphétamines;256;1123;
;Crack;2;8;
;Ecstasy;130;657;
;Cocaïn;4078;7561;
;Feuilles de coca;2;5;
;Métamphétamine;50;157;
;Khat;70;79;
;Cannabis;5;13;
;Chanvre (jeunes plantations);5;50;
;Chanvre (plante sèche);64;140;
;Chanvre (plante fraiche);75;217;
;Haschisch;2124;3999;
;Marijuana;25461;30363;
;Huile de Haschisch;2;21;
;Graines de cannabis;11;71;
;Héroïne;3718;5898;
;Méthadone;99;369;
;Autres produits de substitution;11;24;
;Morphine/Héroïne-base;3;10;
;Opium;4;31;
;LSD;21;197;
;Mescaline;0;4;
;Champignons hallucinogènes (Psilocybes);49;141;
;Autres hallucinogènes;8;27;
;Flunitrazepam (Rohypnol);1;3;
;GHB/GBL;120;172;
;Médicament en vente libre cont. subst. stupéf.;8;13;
;Médicament sur ordonnance cont. subst. stupéf.;516;998;
;Substances de coupage;3;35;
;Autre substance stupéfiante;59;154;
;Plusieurs 1);6723;-;
;Inconnue;16;30;
;Sans indication;17;17;
