
Infractions / art.;Substances;Infractions;Répartition des substances consommées (plusieurs substances peuvent être saisies pour 1 infraction);
Consommation (contravention);
;Total;38519;49303;
;Amphétamines;516;2030;
;Crack;21;31;
;Ecstasy;260;1272;
;Cocaïn;5052;9060;
;Feuilles de coca;4;5;
;Métamphétamine;165;541;
;Khat;4;5;
;Méphédrone;1;3;
;MDPV (3,4-méthylènedioxypyrovalérone);4;10;
;Chanvre (jeunes plantation);8;92;
;Chanvre (plante sèche);13;87;
;Chanvre (plante fraiche);48;177;
;Haschisch;1594;3636;
;Marijuana;18464;24430;
;Huile de Haschisch;3;32;
;Graines de cannabis;44;164;
;Cannabinoïdes de synthèse;13;18;
;Héroïne;3630;5446;
;Méthadone;74;254;
;Autres produits de substitution;5;20;
;Morphine/Héroïne-base;20;40;
;Opium;3;23;
;LSD;31;314;
;Mescaline;0;13;
;Champignons hallucinogènes (Psilocybes);33;169;
;Autres hallucinogènes;9;25;
;GHB/GBL;41;96;
;Médicament en vente libre cont. subst. stupéf.;8;28;
;Médicament sur ordonnance cont. subst. stupéf.;385;875;
;Mat. prem/prod. avec effet prés. sembl. à stup.;0;5;
;Substances de coupage;3;31;
;Autre substance stupéfiante;90;189;
;Plusieurs 1);7826;_;
;Inconnu;44;79;
;Sans indication;103;103;
